Code,Description
J2,Azerbaijan Airlines CJSC
J5,Kalinin Aviation LLC d/b/a Alaska Seaplanes
J6,Larrys Flying Service
J7,Valujet Airlines Inc.
JAG,JetAlliance Flugbetriebs d/b/a JAF Airservice
JAM,Sunbelt Airlines Inc.
JAQ,Jamaica Air Freighters
JB,Helijet International Inc.
JCM,Air Chico
JCO,Concierge U Ltd. d/b/a Jet Concierge Club
JCQ,Jet Connection Businessflight Ag
JCZ,Rocky Mountain Airways Inc.
JD,Beijing Capital Airlines
JER,Jer-Don Air
JF,L.A.B. Flying Service Inc.
JH,Amerijet International
JI,Jade Cargo International
JIQ,Jet Fleet Intl. Airlines
JJ,Transportes Aeros Meridiona
JK,Spanair S.A.
JKQ,Express One International Inc.
JL,Japan Air Lines Co. Ltd.
JM,Air Jamaica Limited
JMA,Jim Air Inc.
JN,Excel Airways
JO,Jalways Co. Ltd.
JQ,Jetstar Airways Pty Limited
JR,Aero California
JTA,Jetaire Airlines Inc.
JU,Air Serbia
JVQ,Prince Aviation
JW,Arrow Air Inc.
JX,STARLUX AIRLINES
JXQ,Allarco Developments Ltd.
JZ,Japan Air Charter Co. Ltd.
K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service"
K3,Venture Travel LLC d/b/a Taquan Air Service
K5,"Seaport Airlines, Inc."
K7,Arizona Express
K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines"
KA,Hong Kong Dragonair
KA1,"Kenmore Air Express, LLC (subsidiary of Kenmore Air Harbor)"
KAH,Kenmore Air Harbor
KAI,Knight Airlines Inc.
KAQ,Kalitta Air LLC
KAT,Katmai Air
KB,Haiti Air
KD,Western Global
KE,Korean Air Lines Co. Ltd.
KEA,Keene Airways
KEE,Key Airlines
KEQ,Key Airlines Inc.
KET,Ketchikan Air Service
KFQ,Skyfirst Limited
KFS,King Flying Service
KH,Aloha Air Cargo
KI,Time Air Ltd.
KIN,Golden Pacific Airlines
KKQ,Transmeridian Air Cargo Ltd.
KL,Klm Royal Dutch Airlines
KLQ,Kalitta Charters II
KM,Air Malta
KN,Morris Air Corporation
KO,Alaska Central Express
KOD,Kodiak Airways Inc.
KP,Kiwi International
KQ,Kenya Airways PLC
KR,Kitty Hawk Aircargo
KS,Peninsula Airways Inc.
KTQ,Turks Air Ltd.
KU,Kuwait Airways Corp.
KV,Sky Regional Airlines Inc.
KW,Carnival Air Lines Inc.
KWQ,Kelowna Flightcraft Air Cha
KWZ,Crown Air
KX,Cayman Airways Limited
KXQ,Cayman Airways Limited
KXZ,Chaparral Airlines Inc.
KZ,Nippon Cargo Airlines
L2,Lynden Air Cargo Airlines
L3,Lynx Aviation d/b/a Frontier Airlines
L4,Lynx Aviation d/b/a Frontier Airlines
L7,Lan Colombia
LA,Lan-Chile Airlines
LAA,La Skycab Airline
LAB,L.A.B. Flying Service Inc.
LAH,La Helicopter
LAN,Lancer Aviation Inc.
LAP,Lapsa
LAR,Laredo Air
LAS,Lake Union Air Service
LAW,Lawrence Aviation
LB,Lloyd Aereo Boliviano S. A.
LBQ,Millon Air Inc.
LC,Varig Logistica S/A
LCQ,Latcr
LCT,Lake Coastal
LDM,Laudamotion GmbH
LDQ,Sparfell Luftfahrt GmbH
LEQ,Le Point Air
LEX,L'Express
LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle
LFS,Larrys Flying Service
LG,Luxair
LGQ,Lineas Aereas Allegro
LH,Lufthansa German Airlines
LHA,Havasu Airlines
LIQ,Liat (1974) Limited
LJ,Jin Air Co Ltd.
LKN,Loken Aviation
LLA,Lakeland Aviation
LM,Alm Antillean Airlines
LMQ,Luxaviation EA
LNQ,Aerolineas Latinas
LO,Polskie Linie Lotnicze
LOQ,Lorair Ltd.
LOS,Aero Commuter
LP,Lan Peru Airlines
LR,Lacsa
LRQ,Air Liberte
LS,Jet2.com
LSQ,Lineas Aereas Suramerican
LSZ,Alaska Island Air Inc.
LT,Luftransport-Unternehmen
LU,Air Atlantic Dominicana
LUQ,Lineas Aereas La-Tur Sa
LV,OPENSKIES SAS
LVA,Las Vegas Airlines
LW,Pacific Wings Airlines
LX,Swiss International Airlines
LXQ,Luxaviation Germany GmbH
LY,El Al Israel Airlines Ltd.
LZ,Balkan Bulgarian Airlines
LZQ,Leisure International Airways Ltd.
M2,MHS Aviation GmbH
M3,ABSA-Aerolinhas Brasileiras
M6,Amerijet International
M7,Aerotransportes Mas De Crga
MA,Malev Hungarian Airlines
MAA,Maui Airlines
MAC,Mackey International Inc.
MAE,Mid-Atlantic Exp. Airlines
MAG,Magum Airlines
MAI,The Maui Commuter
MAQ,Millardair Limited
MAR,Marshall's Air Inc.
MAS,Mesa Airlines Inc.
MAV,Maverick Airways
MAX,Maxair Inc.
MB,Samoa Airlines Inc.
MC,Transtar Airlines Corp.
MCO,Mid Continental Airlines In
MDC,Midcontinent Airlines
MDQ,Aerotransportes Mas De Crga
MDU,Metro Airlines
ME,Middle East Airlines S.A.L.
MEA,Manhattan Express
MES,Mesaba Airlines
MET,Metroplex Airlines
MEX,Metro Express 11
MF,"Xiamen Airlines Co., Ltd."
MG,Champion Air
MGQ,Montana Austria Flugetrieb
MH,Malaysian Airline System
MHK,Mohawk Airlines
MHO,Mahalo Air
MIN,Minuteman Aviation Inc.
MIS,Midstate Airlines Inc.
MIW,Airborne Express Inc.
MIY,Midway Aviation Inc.
MJ,Lapa-Lineas Aereas Privadas
MKQ,Airmark Corporation
ML,Aero Costa Rica
MLL,Miller Air Transportersinc
MLX,Merlin Express
MM,Euro Atlantic Airways
MM2,Euro Atlantic Airways
MMH,Ocean Airways Inc.
MMQ,Miami Air International
MNA,M & N Aviation
MNZ,Cumberland Airlines
MOQ,Morningstar Air Express
MP,Martinair Holland N.V.
MPA,Mid Pacific Airlines Inc.
MPC,Mid Pacific Air Corp.
MQ,Envoy Air
MRC,Marco Island Airways Inc.
MRQ,"National Air Cargo Group, Inc. d/b/a Murray Air"
MRR,Merrimack Aviation Inc.
MS,Egyptair
MSQ,Martinair Holland N.V.
MST,Midwest Aviation
MT,Thomas Cook Airlines Uk Ltd.
MTA,Arkansas Traveler Airline
MTR,Metroflight Airlines
MTV,Mst Aviation
MTX,Mountain Air Express
MU,China Eastern Airlines
MUA,Manu'a Air Transport
MUQ,Aerolineas Mundo
MVA,Mississippi Valley Airlines
MVQ,Aom Minerve S.A.
MW,"Mokulele Flight Services, Inc."
MWA,Mountain West Airlines
MWQ,Minerve Canada
MX,Breeze Aviation Group DBA  Breeze
MY,MAXjet
MYQ,Lineas Aereas Mayas (Lamsa)
MZ,P.N. Merpati Nusantara Air.
N3,Vuela EL Salvador S.A. de C.V.
N5,Skagway Air Service
N6,Aero Continente
N7,National Airlines
N8,National Air Cargo Group Inc d/ba National Airlines
NA,North American Airlines
NAC,National Air Commuter Inc.
NAP,Npa Inc.
NAQ,Nationair
NAS,Nasville Eagle
NAT,National Air
NB,Sterling Cargo
NBQ,Sterling Airways A/S
NC,Northern Air Cargo Inc.
NCA,National Commuter Airlines
NCE,Northcoast Executive
NCP,Colgan Air
ND,Intair
NEB,New Born Wings Inc.
NEC,Nor East Commuter Airlines
NEQ,North East Cargo Airlines
NER,Northeast Express Regional
NET,Nacnet
NEV,Nevada Airlines
NEW,New England Airlines Inc.
NEX,Northeast Express Regional
NFA,National Florida Airlines
NFQ,North Cariboo Flying Serv.
NG,Lauda Air Luftfahrt Ag
NGL,Northern Eagle Airways Inc.
NH,All Nippon Airways Co.
NHA,Newair Flight Inc.
NI,Lanica
NIQ,AVCON JET MALTA LTD
NJ,Vanguard Airlines Inc.
NJA,N. J. Merrimack Airlines
NJE,"NetJets Transportes Aereos, S.A."
NJQ,Romcargo Airline S.R.L
NK,Spirit Air Lines
NKQ,Norcanair
NLQ,Nolinor Aviation
NN,Northward Airlines Ltd.
NOQ,Novair Airlines Ab
NOS,Neos S.P.A
NPA,North Pacific Airlines Inc.
NPT,E. J. A. Newport Inc.
NQ,Air Japan Co
NRN,Northern Airlines Inc.
NRQ,"Conifair Aviation, Inc."
NSQ,North Coast Air Services
NTH,Northaire
NTQ,National Aviation Consult.
NTX,Grand Airways Inc.
NUM,Lake State Airways
NUQ,Air Niugini
NVQ,Novair International Airways Ltd.
NVX,Nevis Express
NW,Northwest Airlines Inc.
NWQ,N. W. Territorial Airways
NWS,Northwest Seaplanes
NXQ,North Vancouver Air
NY,New York Air Inc.
NYH,New York Helicopter Corp.
NZ,Air New Zealand
O6,Oceanair Linhas Aereas S A
OA,Olympic Airways
OAK,Harbor Airlines Inc.
OAL,Orlando Air Link
OAS,Olson Air Service
OB,Oasis International Airlines S.A.
OC,Air California Inc.
OCR,Ocean Reef Airways Inc.
OD,Emerald Airlines Inc.
OE,Westair Airlines Inc.
OF,Air Finland Ltd.
OFF,Offshore Logistics
OG,Fly PLAY ehf
OGZ,Flying Boat Inc.
OH,PSA Airlines Inc.
OHA,Omaha Aviation
OHZ,Caribbean Air Services Inc.
OI,Prestige Airways
OIZ,Corporate Air Inc.
OJ,Fly Jamaica Airways Limited
OK,Czech Airlines
OMH,Omniflight Helicopters
OMI,Omniflight Airways
OMK,Omak Aviation Airlines
OMN,Omni Pacific Airline
OMQ,Quassar De Mexico
ON,Air Nauru
ONQ,Nunasi-Central Airlines Ltd.
OO,SkyWest Airlines Inc.
OOZ,Sun Aire Lines
OP,Flying Boat Inc.
OPQ,Orion Air
OQ,Royale Airlines Inc.
OR,TUI Airlines Nederland B.V.
ORI,Orion Air Inc.
OS,Austrian Airlines
OTT,Otter Air
OV,Aeromaritime
OW,Executive Airlines
OWQ,Ontario Worldair Limited
OWS,Air Kentucky Air Lines
OZ,Asiana Airlines Inc.
OZA,Ozark Air Lines Inc.
P3,Cargologicair Limited
P9,Pro Air Inc.
PA,Florida Coastal Airlines
PAF,Pathfinder Aviation
PAI,Permian Airways Inc.
PAM,Boston-Maine Airways
PAQ,Patriot Airlines Inc.
PAR,Sum Air Services
PAT,Panorama Air Tours
PAV,Pacific Island Aviation
PBA,Provincetown Boston
PBQ,Privatair
PCA,Piasa Commuter Airlines
PCL,Pacific Cal Air
PCQ,Pace Airlines
PCR,Pacair
PD,"Porter Airlines, Inc."
PDA,Trans Southern Airways
PDQ,Antigua Paradise Airways
PE,Air Europe S.P.A.
PEA,Pearson Aircraft
PEQ,SkyLink Express Inc.
PER,Air Pennsylvania
PET,Petro Aviation Corp.
PF,Primera Air Scandinavia
PFA,Pacificair
PFQ,Asia Pacific
PH,Polynesian Airlines Ltd.
PHL,Phillips Airlines
PHR,Pinehurst Airlines Inc.
PHX,Phoenix Airlines
PI,Piedmont Aviation Inc.
PIA,Pacific Island Airways
PIQ,Pacific International Airlines
PJQ,Private Jet Expeditions
PK,Pakistan International Airlines
PKQ,Skyworld Airlines Inc.
PL,Aero Peru
PLA,Planes Inc.
PLQ,Planet Airways
PLZ,Polar Airways Inc.
PM,"Prescott Support Company, Inc."
PMA,Pacific Missionary Aviation
PMT,Pilgrim Aviation & Airlines
PN,Pan American Airways Corp.
PNA,Peninsula Airways Inc.
PNM,Panama Aviation
PNQ,Panagra Airways
PNR,Pioneer Airways
PNS,Pine State Airlines
PO,Polar Air Cargo Airways
POA,Potomac Air
POC,Pocono Airlines Inc.
POL,Polar International
POM,Pompano Airways
PON,Ponderosa Aviation Inc.
POQ,Polyot Airlines
PP,Jet Aviation Business Jets AG
PPQ,Propair
PPR,Propair
PR,Philippine Airlines Inc.
PRA,Princeton Aviation Corp
PRD,Paradise Island Airlines
PRH,Promech
PRM,Prime Air Inc.
PRN,Puerto Rico Intl Airlines
PRO,Sundance Airlines
PRP,Propheter Aviation
PRQ,Florida West Airlines Inc.
PRR,Pro Air Services
PRV,Aloha Island Air
PS,Ukraine International Airlines
PSA,P.S. Air Freight Inc.
PSQ,Presidential Air Airlines
PT,Piedmont Airlines
PTQ,Pontair Ltd.
PU,Primeras Lineas Uruguays For International
PUQ,Aeropuma
PV,Eastern Provincial Airways
PVA,Precision Valley Aviation
PW,Pacific Western Airlines
PY,Surinam Airways Limited
PZ,Lineas Aereas Paraguayas
Q2,Zambia Airways Corp.
Q4,"Master Top Linhas Aereas, Ltda."
Q5,40-Mile Air
Q6,"Vuela Aviacion, S.A."
Q7,SkyBahamas Airlines Ltd.
QA,"Aerovias Caribe, Sa De Cv"
QB,Inter-Quebec (Intair)
QD,Grand Airways Inc.
QF,Qantas Airways Ltd.
QG,Sky West Aviation Inc.
QH,Air Florida Inc.
QK,Jazz Aviation LP
QN,Royal Air
QO,Aeromexpress
QOZ,Bar Harbor Airways
QQ,Reno Air Inc.
QR,Qatar Airways (Q.C.S.C)
QS,"Travel Service, a.s. d/b/a SmartWings"
QT,Transportes Aereos Mercantiles Panamericanos S.A
QTQ,Aer Turas Teoranta
QWE,Qwest Commuter
QX,Horizon Air
QY,European Air Transport Leipzig GmbH
QZ,"Zambia Airways, Corp."
R0,Tantalus Air Ltd. d/b/a Harbour Air d/b/a Harbour Air Seaplanes
R2,Orenburg Airlines
R3,Air Company Yakutia
RAI,Trans States Airlines
RAL,Royal-Air Ltd.
RAN,Pan Am Express
RAQ,Arista International Airlines Inc.
RAY,Royale Airlines Inc.
RB,Syrian Arab Airlines
RC,P/F Atlantic Airways
RCA,Mid-South Aviation Inc.
RD,Ryan International Airlines
RDR,Rader Aviation
RDW,Redwing Airways
RE,Aeronautica De Cancun
REA,Realwest Airlines
RED,Aerosun International Airlines Inc.
REP,Republic Airlines
REQ,Renown Aviation
RES,Resort Airlines Inc.
REX,Express Airlines Inc.
RG,Varig S. A.
RGQ,Regency Air
RHA,Royal Hawaiian Airways Inc.
RI,Airpac Inc.
RIA,Trump Air
RIC,Richardson Aviation
RID,Indiana Airways Inc. (Reid
RIO,Rio Airways Inc.
RIQ,Rich International Airways
RIV,Riverside Air Service
RJ,Alia-(The) Royal Jordanian
RJS,Michigan Airways Inc.
RK,Air Afrique
RL,UltrAir
RLQ,Reliant Airlines
RMH,Rocky Mountain Helicopters
RMV,Ram Aviation
RNQ,Mytravel Airways
RO,Tarom Romanian Air Transpor
ROA,Royal West Airways Inc.
ROE,Roederer Aviation Inc.
ROQ,Aero Uruguay
ROS,Great Western Airlines Inc.
ROY,Royal American Airways Inc.
RP,Chautauqua Airlines Inc.
RRT,Air Freight Express
RS,Sky Regional Airlines Inc.
RSC,Resort Commuter
RSQ,Aerotransportes Entre Rios
RSV,Air-Serve
RTQ,Aerotour Dominicano Cxa
RU,AirBridgeCargo Airlines Limited
RV,Air Canada rouge LP
RVA,Reeves Air
RVQ,"Reeve Air Alaska, LLC"
RW,Republic Airlines
RWG,Air Rovers Inc.
RXQ,Regency Express
RY,Redcoat Air Cargo Limited
RYA,Arctic Transportation
RYQ,Ryan International Airlines
RZZ,Aeromech Inc.
S3,"Santa Barbara Airlines, C.A"
S4,Sata Internacional
S5,Shuttle America Corp.
S6,Star Air A/S
SA,South African Airways
SAC,Sundorph Aeronautical Corp.
SAH,Sea Air Shuttle
SAI,Seair Alaska Airlines Inc.
SAJ,Sajen Air Inc.
SAL,Sallee's Aviation
SAM,Samoan Airlines Inc.
SAQ,Southern Air Transport Inc.
SAS,Air Cortez International
SAX,Air Americana
SBA,Saber Aviation Inc.
SBN,Suburban Airlines
SBQ,Skyjet S.A.
SCN,Scott Aviation
SCO,Seaco Airlines Inc.
SCT,Skyline Airlines
SCY,South Coast Airways
SDQ,St. Lucia Airways Limited
SE,XL Airways France
SEA,SkyWest Airlines Inc.
SEB,"Seaborne Virgin Islands, Inc."
SEG,Seagull Air Service
SEM,Semo Aviation Inc.
SEP,Southern Express Airways
SEQ,Sky Service F.B.O.
SER,Service Aviation Inc.
SFI,Stahmannfarms Inc.
SFO,Sfo Helicopter Airlines Inc.
SFQ,Pacific International Airlines Inc.
SFS,Sierra Flite Service Inc.
SG,Jetsgo
SH,Servicio Aereo De Honduras
SHA,Shuttle America Corp.
SHS,Shasta Air Inc.
SHV,Shavano Air Inc.
SI,Sierra Pacific Airlines
SIA,Silver State Airlines
SIM,Simmons Airlines
SIQ,Premiair
SJA,San Juan Airlines Inc.
SJQ,Skycharter (Malton) Ltd.
SK,Scandinavian Airlines Sys.
SKB,Smokey Bay Air Inc.
SKG,Skagway Air Service
SKI,Sunbird Inc.
SKJ,Sky-Jet
SKL,Bas Airlines
SKM,Scheduled Skyways
SKS,Silver Kris Services Ltd.
SKT,Skytrain
SKW,Skyway Airlines
SLA,Mountain Bird/Salmon Air
SLO,Slocum Air Inc.
SLQ,Sky King Inc.
SLR,Salair
SLZ,Southeast Airlines Inc.
SM,Sunworld International Airlines
SMC,Stopher Mechanical Inc.
SMO,Samoa Aviation Inc.
SMQ,Serv. Aerolineas Mexicanas
SN,Brussels Airlines N.V.
SNA,Aviation Associates
SNB,Ccair
SNC,Gelco Courier Services Inc.
SNE,Shawnee Airlines
SNK,Spernak Airways Inc.
SNV,Sierra Nevada Airways
SO,Swiss World Airways
SOA,Mall Airways Inc.
SOE,Sky One Express
SOL,Soonair Lines Inc.
SOP,South Pacific Island Airway
SPF,Springfield Air Service
SPG,Springdale Air
SPH,Spirit Helicopter
SPQ,Sun Pacific International
SPR,Sportsman Flying Service
SQ,Singapore Airlines Ltd.
SR,Swissair Transport Co. Ltd.
SRA,Star Aviation
SRL,Sterling Air Service
SS,Corsair International
SSA,S. S. Airways Inc.
SSP,Southern Seaplane
SSQ,Superior Airways Limited
SSS,Sierra Express Inc.
SST,Seaplane Shuttle Transport
ST,Belize Airways Limited
STA,State Airlines Inc.
STF,Trans East International
STG,Sedalia Marshall Boonvl Stg
STL,Westair Airlines Inc.
STQ,Skycraft Air Transport Inc.
STR,Star Aviation Corporation
STW,Stateswest Airlines
STZ,Air America Inc.
SU,Aeroflot Russian Airlines
SUA,Sunshine Airlines
SUI,Sun International Airways
SUT,Sunbelt
SUX,Sunair Express LLC
SV,Saudi Arabian Airlines Corp
SVA,Servant Air Inc.
SVL,Sun Valley Airlines
SVW,"Global Jet Luxembourg, Sa"
SWA,Sunwest Airlines
SWT,Swift Aire Lines Inc.
SX,"Skybus Airlines, Inc."
SXP,Sierra Expressway
SXQ,Serv De Trans Aereos Fuegui
SY,Sun Country Airlines d/b/a MN Airlines
SYB,Skybus Express Airlines
SYM,Skymaster
SYQ,Sun Country Airlines
SZQ,Aerolineas El Salvador S A
T3,Tristar Airlines Inc.
T7,Translift Airways Limited
T9,TransMeridian Airlines
TA,Taca International Airlines
TAC,Air Colorado
TAF,Tri Air Freight
TAL,Tejas Airlines Inc.
TAN,Tanana Air Service
TAQ,Taquan Air Service
TAS,Yosemite Airlines Inc.
TAT,Talarik Creek Air Taxi
TB,TUI Airlines Belgium N.V. d/b/a Jetairfly
TBQ,Triair Bermuda Flt Operations
TCA,Trans Catalina Airlines
TCE,Oceanair Line
TCI,Trans California Airlines
TCL,Trans-Central Airlines Inc.
TCO,Trans-Colorado Airlines
TCQ,Express.Net Airlines
TDQ,Venexcargo
TE,Air New Zealand
TEN,Tennessee Airways Inc.
TEQ,TAG Aviation (Malta) Ltd.
TER,Terre Haute Air Commuter
TFQ,Trans International Airlines Inc.
TFZ,Tri-State Airlines Inc.
TG,Thai Airways International Ltd.
TGO,Trans Air Cargo Inc.
TGQ,Tranps Aereos Guatemaltecos
TH,Transmile Air Service
THA,Tropical Helicopter Airways
THO,Thorson Aviation
THQ,T-Bird Air Inc.
TIA,Trans Air Inc.
TIE,Trans International Express
TIQ,Tyrolean Jet Service
TIS,Skyfreight
TJ,Jet Charter Service Inc.
TK,Turk Hava Yollari A.O.
TKQ,Trans-Air-Link Corporation
TLQ,Trans-Mediterranean Airways
TMA,Trans Mo Airlines
TMQ,Transportes Aereos Mercantiles Panamericanos S.A
TN,Air Tahiti Nui
TNQ,Emery Worldwide Airlines
TNS,Transtate Aviation
TP,Tap-Portuguese Airlines
TPQ,Aerial Transit Company
TQ,"Tailwind Air, LLC"
TQA,Venture Travel LLC d/b/a Taquan Air Service
TQQ,Taca Peru
TR,Scoot Tigerair Pte Ltd d/b/a Scoot
TRA,Aeromexico Travel
TRI,Great Plains Airlines Inc.
TRO,Air Molakai
TRP,Trans Pennsylvania Airlines
TRQ,Blue Scandinavia Ab
TRR,Territorial Airlines
TS,Air Transat
TSA,Sierra Pacific Airlines
TSF,American Central Airlines
TSI,Trans Sierra Airlines Inc.
TSQ,TPI International Airways
TTD,Tatonduk Outfitters Limited d/b/a Tatonduk Flying Service
TTM,The Time Machine
TTQ,Canada 3000 Airlines Ltd.
TUL,Tulsair Beechcraft Inc.
TUR,Turner Aire
TV,Haiti Trans Air
TVL,Travelair
TW,Trans World Airways LLC
TWA,Trans Western Airlines Utah
TWE,Trans World Express
TWQ,Air Transat
TX,Soc.Nouvelle Air Guadeloupe
TXA,Texas National Airlines
TXE,Trans Air (Hawaii)
TXQ,British Caribbean Airways
TXY,Texas Airways
TYE,Temsco Airlines
TZ,ATA Airlines d/b/a ATA
TZQ,First Choice Airways
U2,UFS Inc.
U5,USA 3000 Airlines
U7,USA Jet Airlines Inc.
UA,United Air Lines Inc.
UAI,Universal Airways Inc.
UC,Ladeco
UD,Fast Air Carrier Ltd.
UF,Servcs Aereos Rutas Oriente
UH,US Helicopter Corporation
UMQ,Air Manila Inc.
UN,Transaero Airlines
UNQ,Overseas National Airways
UO,Hong Kong Express Airways Limited
UP,Bahamasair Holding Limited
UR,Empire Airlines Inc.
URQ,Aero Uruguay
US,US Airways Inc.
USA,Air U.S.
USQ,USA 3000 Airlines
UT,Union De Transports Aeriens
UTQ,Universal Airlines Inc.
UX,Air Europa
UXQ,Air Europa
UYQ,Aerolineas Uruguayas S.A.
V4,Vensecar International
V5,J.D.Valenciana De Aviation
V6,CLAIRMONT HOLDINGS d/b/a VI AIRLINK
V8,Iliamna Air Taxi
V9,Eagle Airlines
VA,Virgin Blue International Airlines t/a V Australia
VAG,Vagabond Aviation Inc.
VAL,Vieques Air Link Inc.
VAQ,Vacationair
VAS,Valley Air Services
VB,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus"
VC,Servicios Avensa
VCQ,Victory Air Transport Inc.
VE,Aerovias Venezolanas-Avensa
VEE,PSA Airlines Inc.
VER,Britt Airlines Inc.
VEZ,Valdez Airlines
VH,Fast Colombia SAS d/b/a Viva Colombia
VI,Vieques Air Link Inc.
VIA,Air St. Thomas
VIG,Viking Express
VIN,Vale International Airlines
VIQ,Volga-Dnepr Airlines
VIS,Virgin Islands Seaplane
VJT,VistaJet Limited
VK,Air Tungaru Corporation
VL,Mid-South Aviation Inc.
VLA,Village Aviation
VLY,Valley Airlines
VNA,Vietnam Airline
VOQ,Avalon Aviation Ltd.
VP,Viacao Aerea Sao Paulo
VPJ,Vintage Props & Jets Inc.
VQ,Vintage Props & Jets Inc.
VR,Transportes Aereos De Cabo
VS,Virgin Atlantic Airways
VSA,VistaJet Luftfahrtunternehmen GmbH
VV,Aerosvit Ukranian Airlines
VW,Transportes Aeromar S.A de C.V
VX,Virgin America
VY,Highland Express Airways
VYQ,Voyager Airways
W3,Arik Air International
W4,"Mn Aviation, Inc."
W7,Western Pacific Airlines
W8,Cargojet Airways Ltd.
W9,Eastwind Airlines Inc.
WA,Worldwide Airlines Services
WAC,Air East Airlines
WAI,Wise Airlines Inc.
WAL,Warbelow
WAP,Arrow Panama
WAQ,Air Charter Systems (Acs)
WAR,Waring Air
WAS,Wright Air Service
WAW,Westward Airways Inc.
WB,"Air Greco, Inc., d/b/a Wings Air"
WC,Wien Air Alaska Inc.
WCA,Walker's International
WCI,Mountainwest Airlines
WD,Halisa Air
WDQ,Wardair Canada Inc.
WE,Centurion Cargo Inc.
WEB,Southeast Alaska Airlines
WEQ,Aero-Services-Corporate
WES,Western Star Airlines Inc.
WET,Western Charter Inc.
WFL,World2Fly SLU
WFS,Wheeler Airlines
WFT,Westflight Aviation
WG,Sunwing Airlines Inc.
WGL,Wrangell Air Service
WGQ,Gateway Aviation Limited
WGT,Volkswagen AirSevice GmbH dba Volkswagon
WI,Sky Lease Cargo
WIA,Wisc Air
WIL,Will's Air
WIR,Williams Air Inc.
WIS,Air Wisconsin Inc.
WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines"
WLB,Wilburs Inc.
WLH,Welch Aviation
WLQ,Worldwide Airlines Inc.
WM,Windward Islands Airways
WMA,WRANGELL MOUNTAIN AIR INC.
WN,Southwest Airlines Co.
WNG,Wings Airways
WNQ,Winair Inc.
WO,SWOOP Inc.
WOA,Wings Of Alaska
WOQ,Winnport Logistics
WP,Island Air Hawaii
WPT,World2Fly Portugal SA
WR,WestJet Encore Ltd.
WRA,Wra Inc.
WRB,40-Mile Air
WRD,Ward Air
WRT,Wright Airlines Inc.
WS,Westjet
WSK,AAR Western Skyways
WST,Friday Harbor Seaplanes
WSU,Mission Air
WT,Nigeria Airways Ltd.
WTA,Westates Airlines
WV,"Air Greco, Inc., d/b/a Wings Air"
WW,WOW Air ehf
WWI,Wings West Airlines
WWQ,Worldways Canada Ltd.
X3,Hapag-Lloyd Express GmbH
X4,Air Excursions LLC
X7,Challenge Airlines (BE) S.A.
X9,Omni Air International LLC
XAA,Aero Union Corp
XAB,Air Polynesia d/b/a DHL Cargo
XAC,Air Express International Airlines
XAE,Amerford Airways Inc.
XAF,Astro-Wing Airlines Inc.
XAG,Ball Brothers Inc.
XAH,Hawaii Pacific Air
XAI,Burlington Northern Inc.
XAJ,Central American International
XAK,Century Airlines Inc.
XAL,Challenge Air Transport Inc.
XAM,Cohlmia Aviation
XAN,Conner Air Lines Inc.
XAO,Dallas Flight Center
XAQ,Cam Air International Inc.
XAR,Jet Way Inc.
XAS,Klondike Air Inc.
XAT,Michigan Peninsula Airways
XAU,Flight Line Inc.
XAW,Northern Air Cargo Inc.
XAY,Pat Air
XAZ,Purolator Sky Courier Inc.
XBC,Jet East Inc.
XBD,Trans Continental Airlines
XBE,United Parcel Service
XBF,WTC Airlines
XBH,Profit Airlines Inc.
XBI,CF Air Freight
XBJ,International Air Service
XBL,Interstate Airlines Inc.
XBM,Phh Air Inc.
XBP,Circle Airfreight Corp.
XBQ,Aeronaves De Puerto Rico
XBR,Allstates Air Cargo Inc.
XBT,Pacific Alaska Airlines Inc.
XBV,Nal Inc.
XBW,DHL Airways
XBX,Icb International Airlines
XBY,Wrangler Aviation Inc.
XBZ,Air Natl Aircraft Sal & Ser
XC,Air Caribbean
XCA,Hawkins And Powers Aviation
XDA,Pacific Air Express Inc.
XDC,Hemisphere Air Charter
XDD,International Parcel Express Inc.
XDE,Air Train Inc.
XDF,Salair Inc.
XDG,Air Transport International
XDH,Kitty Hawk Air Cargo
XE,ExpressJet Airlines Inc.
XF,Vladivostok Air
XG,North American Airlines
XJ,Mesaba Airlines
XK,Aerotal
XL,Lan Ecuador
XP,TEM Enterprises dba  Avelo Airlines
XPA,Express Air d/b/a Sunrise
XPE,Amira Air GmbH
XPQ,International Cargo Xpress
XV,Presidential Airways Inc.
XY,Munz Northern Airlines Inc.
XYZ,Airpac Inc.
Y2,Globespan Airways Limited d/b/a Flyglobespan
Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)
Y7,Flyjet Limited d/b/a Silverjet
Y8,Yangtze River Express Airlines Company
YAT,"Friendship Airways, Inc. d/b/a Yellow Air Taxi"
YB,"HARBOUR AIR LTD. D/B/A HARBOUR AIR SEAPLANES, WHISTLER AIR AND SALTSPRING AIR"
YBQ,Yellow Bird Air
YI,"Air Sunshine, Inc."
YM,Royal West Airlines
YR,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines"
YTU,Alaska Central Express
YUT,Yute Air Aka Flight Alaska
